name trial difficulty fixations accuracy phase hit group
control2 179 679 2 22 after true control
control2 180 679 9 78 after false control
control2 181 679 8 23 after true control
control2 182 679 5 34 after true control
control2 183 679 8 52 after true control
control2 184 679 5 12 after true control
control2 185 679 9 40 after true control
control2 186 679 10 28 after true control
control2 187 679 5 33 after true control
control2 188 679 6 41 after true control
control2 189 679 7 30 after true control
control2 190 679 12 19 after true control
control2 191 679 4 6 after true control
control2 192 679 4 9 after true control
control2 193 679 2 42 after true control
control2 194 669 1 24 after true control
control2 195 669 8 15 after true control
control2 196 669 9 26 after true control
control2 197 669 1 23 after true control
control2 198 669 10 37 after true control
control2 199 669 7 32 after true control
control2 200 669 3 19 after true control
control3 1 700 15 15 before true control
control3 2 700 8 29 before true control
control3 3 700 3 60 before true control
control3 4 700 18 480 before false control
control3 5 700 4 15 before true control
control3 6 700 6 51 before true control
control3 7 700 3 19 before true control
control3 8 690 4 34 before true control
control3 9 690 3 4 before true control
control3 10 690 3 59 before true control
control3 11 679 2 12 before true control
control3 12 679 6 12 before true control
control3 13 679 2 12 before true control
control3 14 669 2 21 before true control
control3 15 669 3 11 before true control
control3 16 669 8 7 before true control
control3 17 669 7 23 before true control
control3 18 669 1 22 before true control
control3 19 669 2 14 before true control
control3 20 669 5 30 before true control
control3 21 659 5 4 before true control
control3 22 659 2 12 before true control
control3 23 659 10 31 before true control
control3 24 659 7 9 before true control
control3 25 659 3 15 before true control
control3 26 659 4 135 before false control
control3 27 659 1 39 before true control
control3 28 659 4 10 before true control
control3 29 659 3 17 before true control
control3 30 649 4 6 before true control
control3 31 649 10 57 before true control
control3 32 649 1 15 before true control
control3 33 649 17 433 before false control
control3 34 649 2 26 before true control
control3 35 649 4 16 before true control
control3 36 649 1 10 before true control
control3 37 639 3 27 before true control
control3 38 639 3 14 before true control
control3 39 639 1 41 before true control
control3 40 629 6 21 before true control
control3 41 700 13 28 training true control
control3 42 700 1 15 training true control
control3 43 700 5 5 training true control
control3 44 700 1 16 training true control
control3 45 690 7 3 training true control
control3 46 690 3 22 training true control
control3 47 690 3 15 training true control
control3 48 690 6 358 training false control
control3 49 690 12 32 training true control
control3 50 690 6 5 training true control
control3 51 690 3 30 training true control
control3 52 690 5 8 training true control
control3 53 679 4 45 training true control
control3 54 679 6 4 training true control
control3 55 679 10 487 training false control
control3 56 679 12 317 training false control
control3 57 679 1 35 training true control
control3 58 679 1 500 training false control
control3 59 679 6 11 training true control
control3 60 679 6 56 training true control
control3 61 679 4 25 training true control
control3 62 669 8 12 training true control
control3 63 669 5 20 training true control
control3 64 669 5 12 training true control
control3 65 669 1 3 training true control
control3 66 659 3 371 training false control
control3 67 659 7 12 training true control
control3 68 659 2 14 training true control
control3 69 659 1 13 training true control
control3 70 659 1 20 training true control
control3 71 649 1 20 training true control
control3 72 649 2 21 training true control
control3 73 649 6 29 training true control
control3 74 639 3 26 training true control
control3 75 639 6 25 training true control
control3 76 639 1 36 training true control
control3 77 629 12 12 training true control
control3 78 629 4 62 training false control
control3 79 629 2 3 training true control
control3 80 629 5 9 training true control
control3 81 629 3 5 training true control
control3 82 619 7 5 training true control
control3 83 619 1 25 training true control
control3 84 619 1 30 training true control
control3 85 619 7 12 training true control
control3 86 619 2 15 training true control
control3 87 619 6 36 training true control
control3 88 619 6 45 training true control
control3 89 609 2 20 training true control
control3 90 609 11 272 training false control
control3 91 609 1 128 training false control
control3 92 609 1 23 training true control
control3 93 609 6 9 training true control
control3 94 609 15 59 training true control
control3 95 609 3 25 training true control
control3 96 609 1 6 training true control
control3 97 609 2 6 training true control
control3 98 599 2 22 training true control
control3 99 599 4 7 training true control
control3 100 599 2 7 training true control
control3 101 589 5 61 training false control
control3 102 589 3 15 training true control
control3 103 589 5 62 training false control
control3 104 589 6 26 training true control
control3 105 589 4 39 training true control
control3 106 589 2 17 training true control
control3 107 579 6 25 training true control
control3 108 579 1 3 training true control
control3 109 579 2 33 training true control
control3 110 569 5 17 training true control
control3 111 569 2 11 training true control
control3 112 569 4 11 training true control
